year,month,PM2.5_Guanyuan,PM2.5_Dongsi,PM2.5_Dingling,PM2.5_Changping,PM2.5_Aotizhongxin,PM2.5_Gucheng,PM2.5_Huairou,PM2.5_Nongzhanguan,PM2.5_Shunyi,PM2.5_Tiantan,PM2.5_Wanliu,PM2.5_Wanshouxigong
2013,3,102.71908602150538,108.53763440860214,95.70564516129032,98.91666666666667,110.09274193548387,108.84139784946237,95.83602150537635,106.77016129032258,104.66129032258064,105.78225806451613,110.27284946236558,106.6989247311828
2013,4,59.325,65.29444444444445,55.8375,59.44444444444444,62.75138888888889,65.075,57.34722222222222,57.38472222222222,57.8125,60.96388888888889,66.58472222222223,78.97916666666667
2013,5,80.55376344086021,91.39247311827957,70.63440860215054,82.98252688172043,85.76344086021506,82.70833333333333,76.61827956989248,77.39650537634408,79.9986559139785,80.49059139784946,92.9758064516129,81.8239247311828
2013,6,107.03472222222223,109.40694444444445,86.44027777777778,81.0513888888889,106.24583333333334,103.27777777777777,74.81944444444444,108.47222222222223,105.79583333333333,110.46111111111111,119.97777777777777,105.97291666666666
2013,7,65.92876344086021,72.96774193548387,57.818548387096776,61.97715053763441,68.91129032258064,61.581989247311824,62.0994623655914,75.46236559139786,61.93010752688172,69.30510752688173,75.71774193548387,68.15053763440861
2013,8,61.564516129032256,63.98924731182796,49.791666666666664,55.350806451612904,62.325268817204304,58.634408602150536,56.19758064516129,68.16935483870968,60.4005376344086,64.23790322580645,67.04301075268818,59.399193548387096
2013,9,80.03611111111111,85.27083333333333,63.576388888888886,73.30277777777778,79.39027777777778,80.51527777777778,68.99861111111112,82.13888888888889,72.48333333333333,80.21527777777777,86.82083333333334,61.3875
2013,10,96.52822580645162,102.5725806451613,73.09811827956989,82.50537634408602,95.33198924731182,95.9502688172043,77.40591397849462,96.95698924731182,83.16129032258064,95.06989247311827,103.8508064516129,98.98924731182795
2013,11,79.48333333333333,82.94166666666666,47.30694444444445,60.77916666666667,77.28333333333333,77.23472222222222,58.50555555555555,83.37777777777778,66.96666666666667,80.3861111111111,87.36666666666666,84.33472222222223
2013,12,83.35752688172043,85.67876344086021,51.93010752688172,67.14516129032258,76.70698924731182,81.3024193548387,57.98118279569893,87.90591397849462,64.45430107526882,85.1263440860215,104.1491935483871,92.30510752688173
2014,1,101.02553763440861,104.11559139784946,73.08333333333333,88.08333333333333,95.37096774193549,106.0,86.50403225806451,106.13306451612904,93.62231182795699,100.09946236559139,110.0739247311828,117.39784946236558
2014,2,149.9717261904762,154.64136904761904,158.63690476190476,144.4345238095238,149.5922619047619,155.01785714285714,150.99107142857142,156.46130952380952,161.16517857142858,144.49255952380952,162.25,157.93154761904762
