year,month,O3_Guanyuan,O3_Dongsi,O3_Dingling,O3_Changping,O3_Aotizhongxin,O3_Gucheng,O3_Huairou,O3_Nongzhanguan,O3_Shunyi,O3_Tiantan,O3_Wanliu,O3_Wanshouxigong
2013,3,59.41607123655914,58.99188494623655,67.89049166666668,59.85165833333334,46.81443602150537,58.89068198924731,61.74620698924731,58.75945833333333,52.9455435483871,62.2693311827957,38.93315940860215,49.71983924731183
2013,4,61.650681666666664,69.41265333333332,73.57112527777778,67.44183444444444,48.85754944444444,61.71497833333333,73.10868888888889,62.80266916666666,56.340243888888885,68.23123138888889,50.89277361111111,50.94401111111112
2013,5,84.04785456989246,96.66323817204301,98.16859838709678,94.28707741935484,74.45196021505376,84.13291505376344,131.10790322580644,83.62638037634409,86.4400935483871,81.72987204301076,62.69330994623656,71.17752607526882
2013,6,72.43446388888889,87.04392638888889,80.88982055555556,82.75047361111112,68.75843388888889,72.01197555555555,68.20652861111111,78.77374861111112,75.0757763888889,74.80571944444445,60.31184555555556,71.37672583333332
2013,7,77.02213844086022,84.94696801075268,80.01697715053764,81.05084166666667,71.1575626344086,73.18554274193548,84.07969005376344,82.98328467741936,80.39771881720431,77.73951478494624,65.75975188172043,85.13151586021506
2013,8,83.20977661290323,113.25214354838711,85.12752822580646,90.33212258064516,70.23698010752688,80.96971639784945,71.28893118279571,76.9674494623656,78.68101532258065,80.22478817204302,69.24802043010752,87.21893387096775
2013,9,47.431754166666664,53.31059361111111,53.85077611111111,54.12826333333334,37.196265,45.86159444444444,48.48922583333333,46.84359277777778,51.607818055555555,45.19065083333333,40.750212499999996,49.493523888888895
2013,10,24.507999731182796,32.68117930107527,37.33365241935484,29.794183602150536,20.690875268817205,27.553886021505374,35.975666129032255,25.670004569892473,26.702833333333334,25.17706720430108,20.305434139784946,29.011075268817205
2013,11,17.271194722222223,24.343946388888888,33.393591388888886,26.511954722222224,18.832649444444446,27.045377777777777,36.601441944444446,22.2437225,23.46105638888889,19.172929722222225,17.1029775,19.60867222222222
2013,12,14.189997849462365,23.135654569892473,35.0822190860215,24.871095430107527,14.92468252688172,25.779057526881722,30.798850537634408,21.233193548387096,26.1658938172043,17.278342741935482,13.560241935483871,12.877163978494625
