year,month,NO2_Guanyuan,NO2_Dongsi,NO2_Dingling,NO2_Changping,NO2_Aotizhongxin,NO2_Gucheng,NO2_Huairou,NO2_Nongzhanguan,NO2_Shunyi,NO2_Tiantan,NO2_Wanliu,NO2_Wanshouxigong
2013,3,73.73129247311827,76.87141639784946,46.032470619946096,59.361595967741934,74.80195174731183,77.21978149171271,48.79286088709677,76.71494892473117,59.18046935483871,63.991484274193546,88.31711465053765,63.42319502688172
2013,4,57.6900275,43.79480652777777,25.751804305555556,36.738927777777775,53.572206944444446,52.15204416666666,30.88642875,54.109899444444444,39.95485875,43.57349388888889,72.42065597222222,42.78348305555556
2013,5,56.26798978494624,52.16129032258065,26.848069086021507,37.745093548387096,61.016129032258064,59.51465268817204,41.588883333333335,59.244623655913976,42.69489247311828,42.244623655913976,70.1263440860215,52.46683467741935
2013,6,49.49637652777778,56.043619166666666,20.75822375,31.756503333333335,72.84511708333334,62.44586208333333,27.05137763888889,52.95428,34.268620416666664,48.78758333333333,67.22994958333334,53.70585305555556
2013,7,43.92766559139785,47.37021559139785,15.876146908602152,24.675127956989247,55.106725806451614,47.34893064516129,14.904857661290322,40.85281397849462,30.87234435483871,43.41874126344086,54.4870063172043,45.27167298387097
2013,8,45.294160349462366,43.15712607526881,12.21236559139785,23.8390314516129,56.312790322580646,44.57011545698925,20.88012741935484,49.33672567204301,28.862082661290323,40.78017580645161,57.1429370967742,45.756515188172045
2013,9,56.97784152777778,60.02410527777777,22.066318888888887,41.92391694444444,64.10282041666667,61.295048888888886,31.881515,69.68796694444444,27.793389722222223,57.67867416666667,67.83283083333333,57.62965333333334
2013,10,71.0354502688172,71.79894099462366,37.16153306451613,55.53634825268818,73.60589206989248,75.3671814516129,41.66584825268817,65.92964569892473,52.3733811827957,65.6418688172043,75.79543548387096,73.62670497311828
2013,11,63.90277777777778,59.895833333333336,40.78891638888889,47.65176611111111,59.951388888888886,64.29583333333333,46.9375,60.7916025,51.88292930555556,57.394444444444446,58.45176138888889,58.00138888888889
2013,12,69.83247862903225,61.82991989247312,40.18548508064516,50.180956989247306,62.14311155913978,71.12791841397849,45.996382392473116,65.66029543010752,47.90391518817204,68.1055685483871,73.46817258064516,66.48471922043011
2014,1,74.83064516129032,39.40725806451613,38.6505376344086,56.321236559139784,66.66935483870968,76.99327956989248,55.3494623655914,67.33602150537635,55.534946236559136,73.76478494623656,91.96505376344086,80.44220430107526
2014,2,75.58333333333333,105.2485119047619,44.041666666666664,60.311011904761905,67.3735119047619,77.60119047619048,56.660714285714285,68.07589285714286,55.930059523809526,71.45089285714286,116.5327380952381,75.72619047619048
2014,3,73.99462365591398,61.20295698924731,30.081989247311828,53.67607526881721,68.69220430107526,73.55510752688173,46.483870967741936,68.34408602150538,60.043010752688176,65.46774193548387,93.60215053763442,66.38978494623656
2014,4,67.70972222222223,55.75694444444444,30.065277777777776,49.205555555555556,67.35694444444445,69.9263888888889,41.91111111111111,60.8375,54.78888888888889,54.173611111111114,80.70555555555555,54.975
